"","X10619_tumor.printed_rna"
"AC010460.3",0
"AC010463.1",0
"AC010463.2",2846
"AC010463.3",0
"AC010468.1",0
"AC010468.2",0
"AC010468.3",0
"AC010469.1",0
"AC010469.2",0
"AC010476.1",0
"AC010478.1",0
"AC010480.1",15
"AC010485.1",0
"AC010486.1",0
"AC010486.2",0
"AC010486.3",0
"AC010487.1",0
"AC010487.2",1
"AC010487.3",0
"AC010487.4",0
"AC010491.1",2
"AC010492.1",0
"AC010492.2",0
"AC010492.3",0
"AC010493.1",0
"AC010501.1",10
"AC010503.1",1
"AC010503.2",0
"AC010503.3",0
"AC010503.4",0
"AC010504.1",10
"AC010504.2",0
"AC010507.1",0
"AC010507.2",0
"AC010511.1",0
"AC010518.1",0
"AC010519.1",0
"AC010522.1",0
"AC010524.1",0
"AC010525.1",1948
"AC010525.2",3
"AC010528.1",0
"AC010530.1",0
"AC010531.1",0
"AC010531.2",1
"AC010531.3",7
"AC010531.4",0
"AC010531.5",66
"AC010531.6",1
"AC010531.7",1607
"AC010531.8",0
"AC010533.1",0
"AC010536.1",0
"AC010536.2",0
"AC010536.3",1
"AC010538.1",19
"AC010542.1",0
"AC010542.2",807
"AC010542.3",0
"AC010542.4",122
"AC010542.5",23
"AC010546.1",0
"AC010547.1",29
"AC010547.2",0
"AC010547.3",2
"AC010547.4",1
"AC010547.5",0
"AC010547.6",0
"AC010551.1",0
"AC010551.2",0
"AC010551.3",0
"AC010587.1",0
"AC010587.2",0
"AC010591.1",0
"AC010595.1",0
"AC010598.1",1
"AC010601.1",0
"AC010601.2",0
"AC010605.1",49
"AC010608.1",0
"AC010608.2",0
"AC010608.3",0
"AC010609.1",0
"AC010614.1",0
"AC010615.1",0
"AC010615.2",0
"AC010615.3",0
"AC010615.4",0
"AC010616.1",609
"AC010616.2",0
"AC010618.1",0
"AC010618.2",365
"AC010618.3",453
"AC010619.1",0
"AC010619.2",0
"AC010620.1",0
"AC010620.2",0
"AC010624.1",0
"AC010624.2",0
"AC010624.3",53
"AC010624.4",6
"AC010625.1",0
"AC010627.1",0
"AC010631.1",0
"AC010632.1",9
"AC010632.2",0
"AC010632.3",0
"AC010634.1",0
"AC010636.1",0
"AC010636.2",0
"AC010638.1",1
"AC010641.1",0
"AC010642.1",18
"AC010642.2",515
"AC010643.1",0
"AC010646.1",0
"AC010649.1",0
"AC010653.1",0
"AC010653.2",116
"AC010653.3",0
"AC010654.1",0
"AC010655.1",0
"AC010655.2",0
"AC010655.3",0
"AC010655.4",0
"AC010677.1",0
"AC010677.2",0
"AC010678.1",0
"AC010680.1",80
"AC010680.2",32
"AC010680.3",11
"AC010680.4",16
"AC010680.5",1
"AC010683.1",0
"AC010719.1",0
"AC010722.1",0
"AC010723.1",0
"AC010724.1",0
"AC010724.2",0
"AC010724.3",0
"AC010729.1",0
"AC010731.1",0
"AC010731.2",0
"AC010731.3",0
"AC010733.1",24
"AC010733.2",0
"AC010735.1",0
"AC010735.2",0
"AC010737.1",0
"AC010738.1",0
"AC010740.1",0
"AC010745.1",0
"AC010745.2",0
"AC010745.3",0
"AC010745.4",0
"AC010745.5",0
"AC010746.1",0
"AC010754.1",0
"AC010760.1",0
"AC010761.1",1300
"AC010761.2",36
"AC010761.3",61
"AC010761.4",115
"AC010761.5",760
"AC010761.6",1
"AC010768.1",337
"AC010768.2",10
"AC010768.3",0
"AC010768.4",0
"AC010776.1",0
"AC010776.2",0
"AC010776.3",0
"AC010789.1",0
"AC010809.1",0
"AC010809.2",0
"AC010809.3",0
"AC010834.1",86
"AC010834.2",0
"AC010834.3",51
"AC010857.1",0
"AC010864.1",0
"AC010867.1",0
"AC010872.1",49118
"AC010878.1",0
"AC010880.1",0
"AC010881.1",0
"AC010883.1",38
"AC010884.1",0
"AC010886.1",4
"AC010889.1",0
"AC010890.1",0
"AC010891.1",0
"AC010894.1",0
"AC010894.2",0
"AC010894.3",2
"AC010894.4",27
"AC010894.5",0
"AC010900.1",0
"AC010900.2",0
"AC010904.1",0
"AC010904.2",0
"AC010907.1",0
"AC010907.2",0
"AC010913.1",2
"AC010928.1",0
"AC010928.2",0
"AC010928.3",0
"AC010931.1",0
"AC010931.2",0
"AC010931.3",0
"AC010947.1",0
"AC010967.1",0
"AC010967.2",1
"AC010967.3",1
"AC010969.1",2
"AC010969.2",0
"AC010970.1",0
"AC010973.1",20
"AC010973.2",2715
"AC010974.1",0
"AC010975.1",0
"AC010975.2",0
"AC010975.3",0
"AC010976.1",260
"AC010976.2",182
"AC010977.1",0
"AC010978.1",152
"AC010980.1",1
"AC010980.2",0
"AC010982.1",0
"AC010983.1",0
"AC010997.1",0
"AC010997.2",17
"AC010997.3",5
"AC010997.4",4
"AC010997.5",1
"AC010998.1",0
"AC010998.2",24
"AC010998.3",0
"AC010999.1",0
"AC010999.2",15
"AC011005.1",0
"AC011005.2",0
"AC011005.3",0
"AC011005.4",1813
"AC011008.1",0
"AC011008.2",0
"AC011037.1",0
"AC011043.1",0
"AC011043.2",0
"AC011092.1",0
"AC011092.2",15
"AC011095.1",0
"AC011120.1",0
"AC011120.2",0
"AC011124.1",0
"AC011124.2",0
"AC011131.1",0
"AC011139.1",0
"AC011155.1",0
"AC011193.1",0
"AC011193.2",0
"AC011195.1",0
"AC011195.2",0
"AC011196.1",0
"AC011199.1",0
"AC011225.1",0
"AC011228.1",0
"AC011233.1",0
"AC011239.1",4
"AC011239.2",1
"AC011242.1",0
"AC011243.1",0
"AC011247.1",0
"AC011247.2",194
"AC011247.3",0
"AC011257.1",0
"AC011266.1",0
"AC011270.1",0
"AC011270.2",0
"AC011284.1",0
"AC011287.1",0
"AC011287.2",0
"AC011290.1",0
"AC011290.2",34
"AC011294.1",0
"AC011295.1",0
"AC011295.2",3
"AC011297.1",0
"AC011298.1",0
"AC011298.2",0
"AC011298.3",0
"AC011306.1",2
"AC011330.1",0
"AC011330.2",0
"AC011330.3",0
"AC011333.1",0
"AC011337.1",0
"AC011342.1",596
"AC011352.1",0
"AC011352.2",0
"AC011352.3",0
"AC011362.1",0
"AC011363.1",0
"AC011365.1",8
"AC011365.2",8
"AC011369.1",0
"AC011369.2",0
"AC011373.1",0
"AC011374.1",0
"AC011374.2",0
"AC011377.1",1
"AC011379.1",0
"AC011379.2",1
"AC011383.1",1
"AC011389.1",0
"AC011389.2",0
"AC011389.3",0
"AC011396.1",0
"AC011396.2",0
"AC011396.3",0
"AC011405.1",1421
"AC011405.2",0
"AC011406.1",186
"AC011410.1",0
"AC011411.1",0
"AC011416.1",0
"AC011416.2",0
"AC011416.3",0
"AC011431.1",0
"AC011442.1",215
"AC011443.1",6
"AC011444.1",1
"AC011444.2",3
"AC011444.3",3
"AC011444.4",1
"AC011445.1",0
"AC011445.2",0
"AC011446.1",1695
"AC011446.2",1198
"AC011447.1",0
"AC011447.2",0
"AC011447.3",1
"AC011447.4",0
"AC011447.5",0
"AC011447.6",0
"AC011447.7",0
"AC011448.1",0
"AC011450.1",12
"AC011451.1",5
"AC011451.2",7
"AC011451.3",0
"AC011452.1",0
"AC011453.1",0
"AC011453.2",0
"AC011455.1",0
"AC011455.2",0
"AC011455.3",0
"AC011455.4",0
"AC011456.1",0
"AC011458.1",0
"AC011458.2",0
"AC011460.1",0
"AC011461.1",0
"AC011462.1",0
"AC011462.2",6
"AC011462.3",0
"AC011462.4",0
"AC011465.1",155
"AC011466.1",23
"AC011466.2",53
"AC011466.3",77
"AC011466.4",0
"AC011467.1",0
"AC011467.2",0
"AC011467.3",0
"AC011467.4",0
"AC011467.5",0
"AC011467.6",0
"AC011468.1",0
"AC011468.2",0
"AC011468.3",1
"AC011468.4",0
"AC011468.5",16
"AC011471.1",0
"AC011471.2",94
"AC011471.3",0
"AC011471.4",0
"AC011472.1",17
"AC011472.2",0
"AC011472.3",69
"AC011472.4",475
"AC011472.5",72
"AC011473.1",0
"AC011473.2",0
"AC011473.3",0
"AC011473.4",0
"AC011474.1",0
"AC011474.2",0
"AC011474.3",0
"AC011474.4",0
"AC011475.1",0
"AC011476.1",0
"AC011476.10",0
"AC011476.11",0
"AC011476.2",0
"AC011476.3",0
"AC011476.4",0
"AC011476.5",0
"AC011476.6",0
"AC011476.7",0
"AC011476.8",0
"AC011476.9",0
"AC011477.1",23
"AC011477.2",16
"AC011477.3",111
"AC011477.4",0
"AC011477.5",0
"AC011477.6",0
"AC011477.7",2
"AC011478.1",0
"AC011479.1",0
"AC011479.2",0
"AC011479.3",0
"AC011481.1",34379
"AC011481.2",1441
"AC011481.3",0
"AC011483.1",0
"AC011483.2",0
"AC011483.3",0
"AC011484.1",1
"AC011487.1",0
"AC011487.2",0
"AC011487.3",0
"AC011487.4",0
"AC011491.1",3508
"AC011491.2",0
"AC011491.3",2
"AC011492.1",0
"AC011494.1",0
"AC011495.1",0
"AC011495.2",396
"AC011495.3",839
"AC011497.1",2
"AC011497.2",4
"AC011498.1",0
"AC011498.2",12
"AC011498.3",76
"AC011498.4",0
"AC011498.5",0
"AC011498.6",311
"AC011498.7",363
"AC011499.1",0
"AC011500.1",0
"AC011500.2",0
"AC011500.3",5
"AC011503.1",46
"AC011503.2",0
"AC011504.1",0
"AC011506.1",0
"AC011507.1",0
"AC011509.1",0
"AC011509.2",0
"AC011510.1",21
"AC011511.1",0
"AC011511.2",763
"AC011511.3",143
"AC011511.4",0
"AC011511.5",80
"AC011515.1",0
"AC011516.1",0
"AC011518.1",0
"AC011523.1",0
"AC011524.1",0
"AC011524.2",0
"AC011525.1",0
"AC011525.2",0
"AC011530.1",0
"AC011551.1",0
"AC011558.1",720
"AC011586.1",1
"AC011586.2",0
"AC011591.1",0
"AC011591.2",2
"AC011592.1",0
"AC011595.1",16
"AC011595.2",0
"AC011601.1",4
"AC011602.1",0
"AC011603.1",71
"AC011603.2",2490
"AC011603.3",0
"AC011603.4",0
"AC011604.1",0
"AC011604.2",0
"AC011611.1",0
"AC011611.2",0
"AC011611.3",239
"AC011611.4",1
"AC011611.5",480
"AC011611.6",0
"AC011625.1",0
"AC011626.1",0
"AC011632.1",0
"AC011632.2",0
"AC011676.1",0
"AC011676.2",10
"AC011676.3",1
"AC011676.4",0
"AC011676.5",0
"AC011700.1",12
"AC011712.1",0
"AC011718.1",0
"AC011726.1",6
"AC011726.2",0
"AC011726.3",0
"AC011731.1",58
"AC011742.1",0
"AC011742.2",1405
"AC011742.3",320
"AC011747.1",0
"AC011752.1",0
"AC011753.1",0
"AC011753.2",0
"AC011753.3",0
"AC011753.4",266
"AC011754.1",0
"AC011755.1",1
"AC011767.1",0
"AC011773.1",6
"AC011773.2",0
"AC011773.3",22
"AC011773.4",0
"AC011815.1",2
"AC011815.2",13
"AC011815.3",7
"AC011816.1",0
"AC011816.2",0
"AC011824.1",0
"AC011824.2",0
"AC011824.3",0
"AC011825.1",665
"AC011825.2",3
"AC011825.3",0
"AC011825.4",48
"AC011840.1",0
"AC011840.2",0
"AC011840.3",0
"AC011840.4",0
"AC011840.5",0
"AC011841.1",0
"AC011853.1",0
"AC011853.2",0
"AC011890.1",1
"AC011890.2",0
"AC011891.1",0
"AC011891.2",0
"AC011893.1",0
"AC011894.1",0
"AC011897.1",0
"AC011899.1",0
"AC011899.2",0
"AC011899.3",0
"AC011899.4",0
"AC011900.1",0
"AC011904.1",0
"AC011912.1",0
"AC011921.1",1
"AC011921.2",0
"AC011921.3",7
"AC011933.1",1
"AC011933.2",0
"AC011933.3",0
"AC011933.4",8
"AC011939.1",0
"AC011939.2",0
"AC011939.3",67
"AC011944.1",1
"AC011944.2",0
"AC011978.1",0
"AC011978.2",0
"AC011979.1",0
"AC011979.2",0
"AC011990.1",0
"AC011994.1",0
"AC011995.1",0
"AC011995.2",0
"AC011997.1",0
"AC011998.1",0
"AC011998.2",0
"AC011998.3",0
"AC011999.1",0
"AC012005.1",0
"AC012005.2",0
"AC012020.1",0
"AC012020.2",0
"AC012038.1",0
"AC012038.2",0
"AC012044.1",0
"AC012048.1",0
"AC012050.1",0
"AC012055.1",0
"AC012055.2",0
"AC012065.1",0
"AC012065.2",0
"AC012065.3",0
"AC012065.4",70
"AC012065.5",0
"AC012066.1",0
"AC012070.1",0
"AC012073.1",15
"AC012074.1",0
"AC012075.1",0
"AC012078.1",1
"AC012081.1",0
"AC012085.1",0
"AC012085.2",64
"AC012087.1",6
"AC012100.1",0
"AC012100.2",349
"AC012100.3",0
"AC012103.1",0
"AC012119.1",0
"AC012123.1",0
"AC012123.2",0
"AC012146.1",1
"AC012146.2",0
"AC012146.3",0
"AC012146.4",0
"AC012150.1",0
"AC012150.2",0
"AC012157.1",239
"AC012158.1",1
"AC012158.2",0
"AC012170.1",0
"AC012170.2",168
"AC012170.3",323
"AC012173.1",176
"AC012174.1",0
"AC012175.1",0
"AC012181.1",0
"AC012181.2",0
"AC012182.1",0
"AC012183.1",0
"AC012184.1",198
"AC012184.2",0
"AC012184.3",114
"AC012184.4",259
"AC012186.1",0
"AC012186.2",0
"AC012186.3",0
"AC012213.1",0
"AC012213.2",0
"AC012213.3",0
"AC012213.4",0
"AC012213.5",0
"AC012229.1",0
"AC012236.1",3
"AC012254.1",15
"AC012254.2",0
"AC012254.3",395
"AC012254.4",15
"AC012254.5",0
"AC012291.1",0
"AC012291.2",1
"AC012301.1",0
"AC012306.1",0
"AC012306.2",0
"AC012307.1",0
"AC012308.1",0
"AC012309.1",0
"AC012309.2",23
"AC012312.1",1
"AC012313.1",8
"AC012313.10",41182
"AC012313.2",52
"AC012313.3",16
"AC012313.4",1
"AC012313.5",24
"AC012313.6",108
"AC012313.7",96
"AC012313.8",0
"AC012313.9",7660
"AC012314.1",0
"AC012314.10",0
"AC012314.11",0
"AC012314.12",0
"AC012314.13",0
"AC012314.14",0
"AC012314.15",0
"AC012314.16",0
"AC012314.17",0
"AC012314.18",0
"AC012314.19",0
"AC012314.2",0
"AC012314.20",0
"AC012314.21",0
"AC012314.22",0
"AC012314.23",0
"AC012314.24",0
"AC012314.25",0
"AC012314.26",0
"AC012314.27",0
"AC012314.28",0
"AC012314.29",0
"AC012314.3",0
"AC012314.30",0
"AC012314.31",0
"AC012314.32",0
"AC012314.33",1
"AC012314.34",0
"AC012314.35",0
"AC012314.36",0
"AC012314.37",0
"AC012314.38",0
"AC012314.39",0
"AC012314.4",0
"AC012314.40",0
"AC012314.5",0
"AC012314.6",0
"AC012314.7",0
"AC012314.8",0
"AC012314.9",0
"AC012317.1",0
"AC012317.2",0
"AC012321.1",0
"AC012322.1",0
"AC012339.1",0
"AC012339.2",0
"AC012349.1",0
"AC012354.1",0
"AC012354.2",0
"AC012354.3",0
"AC012355.1",0
"AC012358.1",0
"AC012358.2",16
"AC012358.3",166
"AC012360.1",3
"AC012360.2",0
"AC012360.3",0
"AC012361.1",0
"AC012362.1",86
"AC012363.1",105
"AC012363.2",0
"AC012366.1",4
"AC012368.1",5
"AC012368.2",0
"AC012368.3",0
"AC012370.1",0
"AC012370.2",18
"AC012377.1",0
"AC012378.1",1
"AC012378.2",0
"AC012379.1",6
"AC012379.2",8
"AC012400.1",0
"AC012404.1",29
"AC012404.2",19
"AC012409.1",2
"AC012409.2",2
"AC012409.3",0
"AC012409.4",1
"AC012409.5",0
"AC012413.1",1
"AC012414.1",0
"AC012414.2",0
"AC012414.3",0
"AC012414.4",0
"AC012414.5",1
"AC012414.6",0
"AC012414.7",0
"AC012417.1",0
"AC012433.1",0
"AC012435.1",57
"AC012435.2",0
"AC012441.1",0
"AC012441.2",0
"AC012442.1",0
"AC012442.2",0
"AC012442.3",0
"AC012443.1",1
"AC012445.1",0
"AC012447.1",19
"AC012451.1",0
"AC012454.1",0
"AC012456.1",4
"AC012456.2",0
"AC012462.1",0
"AC012462.2",0
"AC012462.3",0
"AC012464.1",4
"AC012464.2",0
"AC012464.3",0
"AC012467.1",15
"AC012467.2",52
"AC012468.1",0
"AC012470.1",0
"AC012476.1",0
"AC012485.1",204
"AC012485.2",0
"AC012485.3",1
"AC012486.1",0
"AC012488.1",0
"AC012491.1",0
"AC012493.1",0
"AC012493.2",0
"AC012493.3",0
"AC012494.1",0
"AC012497.1",0
"AC012498.1",0
"AC012498.2",0
"AC012499.1",69
"AC012501.1",0
"AC012501.2",0
"AC012506.1",0
"AC012506.2",0
"AC012506.3",3
"AC012506.4",0
"AC012507.1",1
"AC012507.2",0
"AC012507.3",0
"AC012507.4",0
"AC012508.1",0
"AC012508.2",0
"AC012510.1",0
"AC012511.1",0
"AC012512.1",0
"AC012513.1",0
"AC012513.2",19
"AC012513.3",0
"AC012519.1",0
"AC012531.1",0
"AC012531.2",0
"AC012531.3",0
"AC012531.4",0
"AC012555.1",0
"AC012555.2",1
"AC012557.1",8
"AC012557.2",302
"AC012558.1",0
"AC012560.1",0
"AC012564.1",0
"AC012568.1",24
"AC012569.1",10
"AC012572.1",0
"AC012572.2",0
"AC012572.3",0
"AC012574.1",0
"AC012574.2",0
"AC012588.1",0
"AC012593.1",0
"AC012594.1",0
"AC012603.1",0
"AC012613.1",55
"AC012613.2",969
"AC012615.1",0
"AC012615.2",82
"AC012615.3",344
"AC012615.4",87
"AC012615.5",692
"AC012615.6",791
"AC012616.1",0
"AC012617.1",0
"AC012618.1",12
"AC012618.2",50
"AC012618.3",14
"AC012625.1",0
"AC012629.1",0
"AC012629.2",375
"AC012629.3",0
"AC012629.4",0
"AC012640.1",17
"AC012640.2",0
"AC012640.3",0
"AC012640.4",1277
"AC012640.5",1
"AC012645.1",2
"AC012645.2",0
"AC012645.3",13
"AC012645.4",220
"AC012651.1",0
"AC012653.1",0
"AC012653.2",0
"AC012668.1",0
"AC012668.2",0
"AC012668.3",4
"AC012669.1",0
"AC012671.1",0
"AC012673.1",0
"AC012676.1",10
"AC012676.2",0
"AC012676.3",0
"AC012676.4",0
"AC012676.5",0
"AC012676.6",0
"AC012676.7",0
"AC012676.8",0
"AC013244.1",0
"AC013244.2",1
"AC013244.3",0
"AC013248.1",0
"AC013262.1",0
"AC013264.1",1
"AC013267.1",0
"AC013268.1",1
"AC013268.2",0
"AC013268.3",0
"AC013268.4",16
"AC013268.5",0
"AC013269.1",0
"AC013269.2",0
"AC013270.1",0
"AC013275.1",0
"AC013286.1",8
"AC013290.1",26
"AC013355.1",0
"AC013356.1",0
"AC013356.2",802
"AC013356.3",5
"AC013356.4",21
"AC013391.1",0
"AC013391.2",0
"AC013391.3",0
"AC013394.1",0
"AC013399.1",0
"AC013400.1",0
"AC013401.1",0
"AC013402.1",0
"AC013402.2",0
"AC013402.3",0
"AC013403.1",0
"AC013403.2",56
"AC013404.1",0
"AC013410.1",0
"AC013410.2",0
"AC013412.1",0
"AC013417.1",0
"AC013429.1",0
"AC013429.2",13
"AC013436.1",0
"AC013437.1",0
"AC013437.2",0
"AC013439.1",0
"AC013442.1",0
"AC013444.1",0
"AC013444.2",7
"AC013448.1",0
"AC013448.2",0
"AC013451.1",35
"AC013451.2",0
"AC013452.1",3
"AC013452.2",2
"AC013457.1",0
"AC013460.1",0
"AC013467.1",0
"AC013467.2",10
"AC013468.1",0
"AC013470.1",0
"AC013470.2",0
"AC013470.3",0
"AC013470.4",0
"AC013472.1",29
"AC013472.2",0
"AC013472.3",41
"AC013474.1",0
"AC013476.1",249
"AC013476.2",1002
"AC013480.1",0
"AC013489.1",0
"AC013489.2",0
"AC013489.3",172
"AC013509.1",0
"AC013549.1",9
"AC013549.2",29
"AC013549.3",0
"AC013553.1",4
"AC013553.2",78
"AC013553.3",1
"AC013553.4",0
"AC013562.1",0
"AC013562.2",0
"AC013564.1",0
"AC013565.1",0
"AC013565.2",0
"AC013565.3",0
"AC013640.1",4
"AC013643.1",0
"AC013643.2",50
"AC013643.3",0
"AC013644.1",0
"AC013652.1",0
"AC013652.2",0
"AC013701.1",113
"AC013714.1",0
"AC013717.1",0
"AC013724.1",0
"AC013726.1",0
"AC013726.2",0
"AC013727.1",0
"AC013727.2",0
"AC013731.1",0
"AC013733.1",0
"AC013733.2",0
"AC013734.1",0
"AC013759.1",0
"AC013762.1",0
"AC013791.1",0
"AC013799.1",0
"AC013828.1",0
"AC015468.1",0
"AC015468.2",0
"AC015468.3",7
"AC015468.4",0
"AC015522.1",0
"AC015540.1",0
"AC015563.1",0
"AC015563.2",166
"AC015574.1",0
"AC015656.1",3
"AC015660.1",0
"AC015660.2",1
"AC015660.3",0
"AC015660.4",0
"AC015674.1",1295
"AC015687.1",0
"AC015688.1",0
"AC015688.2",0
"AC015688.3",0
"AC015688.4",0
"AC015688.5",0
"AC015688.6",18
"AC015689.1",0
"AC015689.2",42
"AC015712.1",0
"AC015712.2",69
"AC015712.3",0
"AC015712.4",0
"AC015712.5",0
"AC015712.6",0
"AC015712.7",0
"AC015720.1",0
"AC015720.2",0
"AC015722.1",0
"AC015722.2",0
"AC015726.1",0
"AC015726.2",0
"AC015726.3",0
"AC015727.1",3
"AC015743.1",0
"AC015771.1",0
"AC015795.1",40
"AC015799.1",0
"AC015802.1",7
"AC015802.2",0
"AC015802.3",0
"AC015802.4",0
"AC015802.5",7
"AC015802.6",966
"AC015804.1",0
"AC015813.1",0
"AC015813.2",0
"AC015813.3",0
"AC015813.4",0
"AC015813.5",724
"AC015813.6",0
"AC015813.7",12
"AC015813.8",0
"AC015818.1",0
"AC015818.2",0
"AC015818.3",0
"AC015818.4",0
"AC015818.5",0
"AC015818.6",0
"AC015818.7",0
"AC015818.8",0
"AC015818.9",0
"AC015819.1",0
"AC015819.2",0
"AC015819.3",0
"AC015819.4",0
"AC015845.1",1
"AC015845.2",0
"AC015849.1",0
"AC015849.10",0
"AC015849.11",0
"AC015849.12",0
"AC015849.2",0
"AC015849.3",0
"AC015849.4",0
"AC015849.5",0
"AC015849.6",0
"AC015849.7",0
"AC015849.8",0
"AC015849.9",0
"AC015853.1",0
"AC015853.2",0
"AC015853.3",0
"AC015853.4",0
"AC015853.5",0
"AC015853.6",0
"AC015871.1",0
"AC015871.2",0
"AC015871.3",0
"AC015871.4",0
"AC015871.5",0
"AC015878.1",3
"AC015878.2",0
"AC015883.1",0
"AC015908.1",10
"AC015908.2",0
"AC015908.3",70
"AC015908.4",0
"AC015908.5",4
"AC015908.6",0
"AC015908.7",0
"AC015909.1",0
"AC015909.2",0
"AC015909.3",0
"AC015909.4",0
"AC015909.5",186
"AC015910.1",0
"AC015911.1",0
"AC015911.2",0
"AC015911.3",0
"AC015911.4",0
"AC015911.5",0
"AC015911.6",0
"AC015911.7",5
"AC015911.8",0
"AC015911.9",0
"AC015912.1",182
"AC015912.2",0
"AC015912.3",0
"AC015914.1",75
"AC015914.2",3
"AC015917.1",0
"AC015917.2",208
"AC015920.1",0
"AC015921.1",2
"AC015922.1",0
"AC015922.2",4
"AC015922.3",0
"AC015923.1",6
"AC015936.1",1
"AC015936.2",0
"AC015938.1",0
"AC015938.2",0
"AC015959.1",0
"AC015961.1",8
"AC015961.2",0
"AC015967.1",0
"AC015967.2",0
"AC015969.1",1
"AC015971.1",2710
"AC015977.1",0
"AC015977.2",0
"AC015978.1",0
"AC015982.1",7
"AC015983.1",0
"AC015983.2",0
"AC015987.1",6
"AC016026.1",8
"AC016027.1",396
"AC016027.2",2
"AC016027.3",0
"AC016027.4",0
"AC016027.5",186
"AC016042.1",0
"AC016044.1",51
"AC016065.1",8
"AC016065.2",5
"AC016074.1",1
"AC016134.1",0
"AC016144.1",0
"AC016152.1",0
"AC016168.1",0
"AC016168.2",0
"AC016168.3",0
"AC016180.1",0
"AC016182.1",0
"AC016205.1",0
"AC016229.1",0
"AC016229.2",0
"AC016245.1",47
"AC016251.1",0
"AC016251.2",0
"AC016252.1",0
"AC016256.1",1
"AC016257.1",0
"AC016266.1",0
"AC016292.1",0
"AC016292.2",0
"AC016304.1",0
"AC016355.1",0
"AC016382.1",0
"AC016383.1",0
"AC016383.2",0
"AC016394.1",51
"AC016395.1",0
"AC016396.1",0
"AC016396.2",0
"AC016397.1",0
"AC016397.2",0
"AC016405.1",0
"AC016405.2",8
"AC016405.3",2
"AC016482.1",0
"AC016482.2",0
"AC016493.1",8
"AC016526.1",1
"AC016526.2",0
"AC016526.3",0
"AC016526.4",6
"AC016542.1",0
"AC016542.2",0
"AC016542.3",0
"AC016546.1",0
"AC016550.1",0
"AC016550.2",0
"AC016550.3",0
"AC016553.1",0
"AC016556.1",0
"AC016559.1",5
"AC016559.2",111
"AC016571.1",31
"AC016573.1",0
"AC016575.1",0
"AC016576.1",4
"AC016582.1",1
"AC016582.2",0
"AC016582.3",0
"AC016583.1",0
"AC016586.1",0
"AC016588.1",165
"AC016588.2",0
"AC016590.1",0
"AC016590.2",0
"AC016590.3",0
"AC016595.1",0
"AC016596.1",10
"AC016597.1",78
"AC016597.2",0
"AC016598.1",0
"AC016598.2",0
"AC016612.1",0
"AC016629.1",0
"AC016629.2",10
"AC016629.3",0
"AC016632.1",0
"AC016642.1",0
"AC016644.1",55
"AC016650.1",0
"AC016651.1",0
"AC016683.1",62
"AC016687.1",0
"AC016687.2",1
"AC016687.3",0
"AC016691.1",1
"AC016694.1",0
"AC016696.1",0
"AC016700.1",0
"AC016700.2",0
"AC016700.3",0
"AC016705.1",0
"AC016705.2",0
"AC016708.1",0
"AC016710.1",0
"AC016712.1",0
"AC016716.1",0
"AC016716.2",0
"AC016717.1",0
"AC016717.2",0
"AC016717.3",0
"AC016722.1",0
"AC016722.2",379
"AC016723.1",0
"AC016724.1",0
"AC016727.1",523
"AC016727.2",0
"AC016727.3",51
"AC016730.1",0
"AC016734.1",0
"AC016734.2",0
"AC016735.1",0
"AC016737.1",0
"AC016737.2",0
"AC016738.1",937
"AC016738.2",501
"AC016739.1",0
"AC016745.1",0
"AC016745.2",0
"AC016746.1",147
"AC016747.1",0
"AC016747.2",13
"AC016747.3",144
"AC016747.4",0
"AC016751.1",0
"AC016751.2",0
"AC016757.1",0
"AC016766.1",0
"AC016769.1",0
"AC016769.2",0
"AC016769.3",0
"AC016769.4",0
"AC016772.1",0
"AC016773.1",2888
"AC016813.1",0
"AC016816.1",0
"AC016820.1",0
"AC016822.1",0
"AC016825.1",7
"AC016831.1",0
"AC016831.2",0
"AC016831.3",0
"AC016831.4",0
"AC016831.5",0
"AC016831.6",2
"AC016866.1",11
"AC016866.2",7
"AC016866.3",0
"AC016868.1",0
"AC016876.1",3612
"AC016876.2",2
"AC016876.3",176
"AC016877.1",0
"AC016877.2",0
"AC016877.3",0
"AC016885.1",0
"AC016885.2",0
"AC016885.3",0
"AC016888.1",705
"AC016894.1",0
"AC016903.1",0
"AC016903.2",0
"AC016907.1",0
"AC016907.2",0
"AC016908.1",0
"AC016909.1",0
"AC016909.2",1
"AC016910.1",2
"AC016911.1",0
"AC016912.1",0
"AC016924.1",69
"AC016925.1",0
"AC016925.2",0
"AC016930.1",1
"AC016933.1",0
"AC016949.1",0
"AC016954.1",1
"AC016956.1",0
"AC016957.1",0
"AC016957.2",0
"AC016968.1",0
"AC016987.1",0
"AC016987.2",0
"AC016991.1",0
"AC016993.1",0
"AC016994.1",0
"AC016999.1",48
"AC016999.2",0
"AC017000.1",4
"AC017002.1",0
"AC017002.2",0
"AC017002.3",6
"AC017002.4",0
"AC017002.5",0
"AC017002.6",0
"AC017006.1",5
"AC017006.2",0
"AC017007.1",0
"AC017007.2",0
"AC017007.3",0
"AC017007.4",0
"AC017007.5",0
"AC017013.1",0
"AC017015.1",4
"AC017015.2",0
"AC017019.1",0
"AC017033.1",0
"AC017035.1",0
"AC017037.1",8
"AC017037.2",0
"AC017037.3",0
"AC017037.4",0
"AC017048.1",0
"AC017048.2",0
"AC017048.3",0
"AC017053.1",0
"AC017067.1",5
"AC017071.1",0
"AC017074.1",0
"AC017074.2",0
"AC017076.1",0
"AC017078.1",40
"AC017079.1",0
"AC017079.2",0
